n,Mergesort,Quicksort,Randomized Quicksort,Insertion Sort, STL sort, Quicksort with sorted input, Randomized Quicksort with sorted input
5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
100,0.00000,0.00000,0.10000,0.00000,0.00000,0.00000,0.00000
1000,0.15000,0.25000,0.00000,0.50000,0.05000,0.80000,0.00000
10000,1.15000,1.00000,1.00000,51.85000,1.35000,70.75000,0.70000
100000,14.55000,11.75000,13.40000,5237.40000,14.45000,2593.60000,7.40000
